type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,70005X,精華元大66展02,TW16Z70005X5,2016/12/19,上櫃,,RWSCCE
上櫃認購(售)權證,70006X,良維元大6C展02,TW17Z70006X2,2017/06/19,上櫃,,RWSCCE
上櫃認購(售)權證,700576,三貝德凱基8A購01,TW18Z7005762,2018/10/19,上櫃,,RWSCCA
上櫃認購(售)權證,700577,大中凱基8A購01,TW18Z7005770,2018/10/19,上櫃,,RWSCCA
上櫃認購(售)權證,700587,碩禾凱基8A購01,TW18Z7005879,2018/10/19,上櫃,,RWSCCA
上櫃認購(售)權證,700636,三貝德凱基8A購02,TW18Z7006364,2018/10/24,上櫃,,RWSCCA
上櫃認購(售)權證,700820,大宇資國泰8B購01,TW18Z7008204,2018/11/02,上櫃,,RWSCCA
上櫃認購(售)權證,701189,中美晶國泰8B購01,TW18Z7011893,2018/11/29,上櫃,,RWSCCA
上櫃認購(售)權證,701389,VHQ中信8A購01,TW18Z7013899,2018/12/13,上櫃,,RWSCCE
上櫃認購(售)權證,701533,VHQ中信8A購02,TW18Z7015332,2018/12/24,上櫃,,RWSCCE
上櫃認購(售)權證,701557,環球晶中信8B購01,TW18Z7015571,2018/12/26,上櫃,,RWSCCE
上櫃認購(售)權證,701782,合晶元大8A購03,TW19Z7017823,2019/01/11,上櫃,,RWSCCA
上櫃認購(售)權證,701783,牧德元大8A購01,TW19Z7017831,2019/01/11,上櫃,,RWSCCA
上櫃認購(售)權證,701795,金可凱基8A購01,TW19Z7017955,2019/01/14,上櫃,,RWSCCA
上櫃認購(售)權證,701800,良維元大8A購01,TW19Z7018003,2019/01/14,上櫃,,RWSCCA
上櫃認購(售)權證,701833,譜瑞凱基8A購01,TW19Z7018334,2019/01/16,上櫃,,RWSCCA
上櫃認購(售)權證,701841,雙鴻兆豐8A購01,TW19Z7018417,2019/01/16,上櫃,,RWSCCA
上櫃認購(售)權證,701881,VHQ凱基8A購01,TW19Z7018813,2019/01/18,上櫃,,RWSCCA
上櫃認購(售)權證,701884,皇田凱基8A購01,TW19Z7018847,2019/01/18,上櫃,,RWSCCA
上櫃認購(售)權證,701885,泰博凱基8A購01,TW19Z7018854,2019/01/18,上櫃,,RWSCCA
上櫃認購(售)權證,701893,先豐元大8A購01,TW19Z7018938,2019/01/18,上櫃,,RWSCCA
上櫃認購(售)權證,701918,旺矽凱基8A購01,TW19Z7019183,2019/01/21,上櫃,,RWSCCA
上櫃認購(售)權證,701919,金可凱基8A購02,TW19Z7019191,2019/01/21,上櫃,,RWSCCA
上櫃認購(售)權證,701943,合晶凱基8A購01,TW19Z7019431,2019/01/22,上櫃,,RWSCCA
上櫃認購(售)權證,701984,牧德凱基8A購01,TW19Z7019845,2019/01/24,上櫃,,RWSCCA
上櫃認購(售)權證,701985,直得凱基8A購01,TW19Z7019852,2019/01/24,上櫃,,RWSCCA
上櫃認購(售)權證,701986,晶焱凱基8A購01,TW19Z7019860,2019/01/24,上櫃,,RWSCCA
上櫃認購(售)權證,701992,同致凱基8A購01,TW19Z7019928,2019/01/25,上櫃,,RWSCCA
上櫃認購(售)權證,701994,牧德凱基8A購02,TW19Z7019944,2019/01/25,上櫃,,RWSCCA
上櫃認購(售)權證,702018,大宇資凱基8A購01,TW19Z7020181,2019/01/28,上櫃,,RWSCCA
上櫃認購(售)權證,702038,中光電台新97購01,TW19Z7020389,2019/01/28,上櫃,,RWSCCE
上櫃認購(售)權證,702039,群聯台新97購01,TW19Z7020397,2019/01/28,上櫃,,RWSCCE
上櫃認購(售)權證,702042,牧德元大8A購02,TW19Z7020421,2019/01/28,上櫃,,RWSCCA
上櫃認購(售)權證,702071,美琪瑪凱基8A購01,TW19Z7020710,2019/01/30,上櫃,,RWSCCA
上櫃認購(售)權證,702082,合晶元大8A購04,TW19Z7020827,2019/01/30,上櫃,,RWSCCA
上櫃認購(售)權證,702097,昇達科國泰8A購01,TW19Z7020975,2019/02/11,上櫃,,RWSCCA
上櫃認購(售)權證,702102,牧德元大8B購01,TW19Z7021023,2019/02/11,上櫃,,RWSCCA
上櫃認購(售)權證,702103,金可元大8A購01,TW19Z7021031,2019/02/11,上櫃,,RWSCCA
上櫃認購(售)權證,702110,伍豐國泰8A購01,TW19Z7021106,2019/02/12,上櫃,,RWSCCA
上櫃認購(售)權證,702111,昂寶國泰8A購01,TW19Z7021114,2019/02/12,上櫃,,RWSCCA
上櫃認購(售)權證,702112,宣德國泰8A購01,TW19Z7021122,2019/02/12,上櫃,,RWSCCA
上櫃認購(售)權證,702113,原相國泰8A購01,TW19Z7021130,2019/02/12,上櫃,,RWSCCA
上櫃認購(售)權證,702114,聯亞台新8A購01,TW19Z7021148,2019/02/12,上櫃,,RWSCCE
上櫃認購(售)權證,702116,大江凱基8B購01,TW19Z7021163,2019/02/12,上櫃,,RWSCCA
上櫃認購(售)權證,702131,立端國泰8A購01,TW19Z7021312,2019/02/13,上櫃,,RWSCCA
上櫃認購(售)權證,702132,兆利國泰8A購01,TW19Z7021320,2019/02/13,上櫃,,RWSCCA
上櫃認購(售)權證,702133,岳豐國泰8A購01,TW19Z7021338,2019/02/13,上櫃,,RWSCCA
上櫃認購(售)權證,702136,大江凱基8B購02,TW19Z7021361,2019/02/13,上櫃,,RWSCCA
上櫃認購(售)權證,702156,同致凱基8B購01,TW19Z7021569,2019/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,702161,頎邦凱基8B購01,TW19Z7021619,2019/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,702166,神盾元大8A購01,TW19Z7021668,2019/02/18,上櫃,,RWSCCA
上櫃認購(售)權證,702180,昂寶中信8A購01,TW19Z7021809,2019/02/15,上櫃,,RWSCCE
上櫃認購(售)權證,702182,大江凱基8B購03,TW19Z7021825,2019/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,702188,智擎國泰8A購01,TW19Z7021882,2019/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,702189,環宇國泰8A購01,TW19Z7021890,2019/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,702203,大中永昌8A購01,TW19Z7022039,2019/02/19,上櫃,,RWSCCE
上櫃認購(售)權證,702204,昂寶永昌8A購01,TW19Z7022047,2019/02/19,上櫃,,RWSCCE
上櫃認購(售)權證,702207,宣德元大8A購01,TW19Z7022070,2019/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,702213,穩懋統一8A購01,TW19Z7022138,2019/02/18,上櫃,,RWSCCA
上櫃認購(售)權證,702215,昂寶富邦8A購01,TW19Z7022153,2019/02/18,上櫃,,RWSCCA
上櫃認購(售)權證,702257,凱美群益8A購01,TW19Z7022575,2019/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,702260,信昌電國泰8A購01,TW19Z7022609,2019/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,702261,譜瑞富邦8A購01,TW19Z7022617,2019/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,702266,牧德元大8B購02,TW19Z7022666,2019/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,702267,聯亞元大8A購01,TW19Z7022674,2019/02/19,上櫃,,RWSCCA
上櫃認購(售)權證,702301,保瑞國泰8A購01,TW19Z7023011,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702302,精測國泰8A購01,TW19Z7023029,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702303,環球晶國泰8A購01,TW19Z7023037,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702304,環球晶國泰8B購01,TW19Z7023045,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702305,信昌電富邦8A購01,TW19Z7023052,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702308,由田元大8B購01,TW19Z7023086,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702310,牧德元大8A購04,TW19Z7023102,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702311,信昌電元大8A購01,TW19Z7023110,2019/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,702322,三貝德中信8A購01,TW19Z7023227,2019/02/21,上櫃,,RWSCCE
上櫃認購(售)權證,702323,合晶統一8A購01,TW19Z7023235,2019/02/21,上櫃,,RWSCCA
上櫃認購(售)權證,702333,牧德凱基8B購01,TW19Z7023334,2019/02/21,上櫃,,RWSCCA
上櫃認購(售)權證,702334,金可凱基8B購01,TW19Z7023342,2019/02/21,上櫃,,RWSCCA
上櫃認購(售)權證,702335,譜瑞凱基8B購01,TW19Z7023359,2019/02/21,上櫃,,RWSCCA
上櫃認購(售)權證,702340,環宇群益8A購01,TW19Z7023409,2019/02/21,上櫃,,RWSCCA
上櫃認購(售)權證,702397,環球晶中信8A購02,TW19Z7023979,2019/02/25,上櫃,,RWSCCE
上櫃認購(售)權證,702412,三貝德國泰8A購01,TW19Z7024126,2019/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,702413,蜜望實國泰8A購01,TW19Z7024134,2019/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,702436,緯軟群益8B購01,TW19Z7024365,2019/02/26,上櫃,,RWSCCA
上櫃認購(售)權證,702444,牧德元大8A購05,TW19Z7024449,2019/02/26,上櫃,,RWSCCA
上櫃認購(售)權證,702445,宣德元大8B購01,TW19Z7024456,2019/02/26,上櫃,,RWSCCA
上櫃認購(售)權證,702466,牧德元大8B購03,TW19Z7024662,2019/02/27,上櫃,,RWSCCA
上櫃認購(售)權證,702471,力旺國泰8A購01,TW19Z7024712,2019/02/27,上櫃,,RWSCCA
